date,d13C_median,d13C_mean,d13C_p5,d13C_p95,d13C_std,dD_median,dD_mean,dD_p5,dD_p95,dD_std
2001-01-01,-52.905579853897045,-52.773867728697624,-64.69139391840463,-40.865828964826875,7.66090808174912,-312.4058176510001,-312.08748375421504,-353.7572464132958,-270.6320023402624,25.198724546200594
2001-02-01,-52.9623267123834,-52.78925186732551,-64.2903654109911,-41.045834493339655,7.5794707561752155,-312.84095725823005,-312.71497995446737,-353.8682306761423,-271.16682145838195,24.808857934018853
2001-03-01,-52.24495925227613,-52.16732618951283,-64.71696645124004,-39.53431247772699,8.100693481885047,-315.67233983496374,-315.6238327263484,-356.19080023090726,-275.82790955196805,23.935185841799914
2001-04-01,-52.576863945562394,-52.40803371339774,-64.17795809623037,-40.5578908000258,7.532660895620025,-315.7154657809713,-315.5365046784645,-352.6358799156062,-278.82297237237884,22.126642093586277
2001-05-01,-52.53242281357856,-52.65384666314877,-63.3935059852454,-42.21367225941036,6.836334518710492,-318.77667389898477,-318.4801169576169,-351.7918342877048,-284.80955526982467,20.276392900217623
2001-06-01,-52.93917484935955,-52.89541011116746,-63.44039711403725,-42.35579990562839,6.7657304788498145,-320.340519189774,-320.5331815353525,-352.2020040823004,-288.5964105670006,19.06213961780454
2001-07-01,-52.66647270426099,-52.738083844294984,-63.2795534686351,-42.117998386028354,6.797742351464026,-321.3185717731135,-321.56278732088276,-352.4687873152233,-290.8369216477623,18.359101200119234
2001-08-01,-53.08886264136967,-53.09482778882948,-63.33960354386613,-42.806410631708424,6.555215886813342,-319.99424859375904,-320.0869905124912,-350.99618301908845,-288.6405520148837,18.840356195386654
2001-09-01,-52.891245869501425,-52.871058620038184,-63.54021785427949,-42.20280701015738,6.861244000001043,-317.8023060168541,-318.1330333847989,-352.2925629845314,-283.9595347499779,20.566639885405635
2001-10-01,-52.50217959785191,-52.60296686446832,-63.802496331500436,-41.38866415946004,7.20346503070395,-316.2027767749693,-316.0425543191585,-352.74878076087685,-278.87101340527073,22.249371687793776
2001-11-01,-52.7874648665634,-52.584545495406935,-64.32292077794115,-40.77331278016456,7.57541720480735,-314.0782920811562,-314.0413825990402,-353.04870553653666,-274.7916125194082,23.64341217978302
2001-12-01,-52.56298434893105,-52.60882879018693,-64.78231809973948,-40.31217446024797,7.880783652524892,-313.20830647026185,-313.1586767073143,-354.2898339682305,-270.8143440140595,25.090432481048186
2002-01-01,-53.02410618424604,-52.97956972780086,-64.49698501238801,-41.44672668148187,7.42707064087241,-309.7798213611505,-310.5318340210924,-353.22762014657707,-268.4874865787854,25.664442593985957
2002-02-01,-52.529230960416385,-52.528401014462716,-64.30059416627873,-40.76158610408413,7.6059375034712655,-313.43706171419643,-313.6539833774616,-353.9182021352087,-273.275459867821,24.28851714877109
2002-03-01,-51.81566384845634,-51.887054566001716,-64.3688967144955,-39.61783924853362,7.977495463656241,-316.3124243259435,-315.9383256316552,-354.473869539157,-277.1400563961018,23.315282428899923
2002-04-01,-52.312854373487774,-52.3478782536448,-64.08876435648298,-40.43053752153482,7.627164389284227,-317.6184048097824,-317.46091210373993,-354.0503543408979,-279.6399381109967,22.409215258364036
2002-05-01,-52.85028517624198,-52.92883218229174,-63.351328517048856,-42.52832075719028,6.693388231051326,-317.27213906770834,-317.18998573409164,-351.82981789556493,-283.8332085815714,20.561121777303473
2002-06-01,-52.95635306134989,-52.83830923737575,-63.11006376760109,-42.39411223193927,6.670402448423752,-321.0076016755924,-320.88517712604477,-351.52391015953435,-289.8048390383604,18.78082557502494
2002-07-01,-52.72302521511923,-52.6128173979429,-63.20938976722851,-42.06750820660367,6.806345818017745,-322.2231857008737,-321.68312652390813,-352.7159379388115,-290.43703075563053,18.709466264477808
2002-08-01,-53.00617996009906,-52.94885757236979,-63.10486875047093,-42.70167553414036,6.541658465360939,-320.86476675160384,-320.7016953483531,-352.6321917690887,-288.9214806268843,18.93697101578877
2002-09-01,-53.02684896339728,-53.00549360047644,-63.42505296181941,-42.432139636838464,6.71961277367089,-317.0550768705125,-317.5394020293618,-351.1067993108605,-283.8617562682523,20.372446596013813
2002-10-01,-53.00243304286934,-52.97488782968783,-63.8823422195736,-41.90750543593348,7.019422054023041,-315.043940777183,-315.1229674464605,-352.4158159452636,-278.2323977318557,22.448702601164438
